Year,Economy,Economy Label,Partner,Partner Label,Flow,Flow Label,IctProductCategory,IctProductCategory Label,Percentage of total merchandise trade,Percentage of total merchandise trade Footnote
2000,2376,"Selected LIFDC (Low-income food-deficit countries)",0000,"World",02,"Exports",ICT00,"Total ICT goods",0.22925,
2000,2376,"Selected LIFDC (Low-income food-deficit countries)",0000,"World",03,"Re-exports",ICT00,"Total ICT goods",2.32899,
2000,2378,"LIFDC (Low-income food-deficit countries) (FAO)",0000,"World",01,"Imports",ICT00,"Total ICT goods",3.60885,
2000,2378,"LIFDC (Low-income food-deficit countries) (FAO)",0000,"World",02,"Exports",ICT00,"Total ICT goods",0.19205,
2000,2378,"LIFDC (Low-income food-deficit countries) (FAO)",0000,"World",03,"Re-exports",ICT00,"Total ICT goods",2.22718,
2000,2411,"Net food-importing economies",0000,"World",01,"Imports",ICT00,"Total ICT goods",15.30379,
2000,2411,"Net food-importing economies",0000,"World",02,"Exports",ICT00,"Total ICT goods",15.3385,
2000,2411,"Net food-importing economies",0000,"World",03,"Re-exports",ICT00,"Total ICT goods",24.41642,
2000,2411,"Net food-importing economies",0000,"World",24,"Re-imports",ICT00,"Total ICT goods",22.84634,
2000,2412,"Net food-exporting economies",0000,"World",01,"Imports",ICT00,"Total ICT goods",16.81064,
2000,2412,"Net food-exporting economies",0000,"World",02,"Exports",ICT00,"Total ICT goods",16.78854,
2000,2412,"Net food-exporting economies",0000,"World",03,"Re-exports",ICT00,"Total ICT goods",37.17258,
2000,2412,"Net food-exporting economies",0000,"World",24,"Re-imports",ICT00,"Total ICT goods",41.17733,
2000,2413,"Net food-exporting developing economies",0000,"World",01,"Imports",ICT00,"Total ICT goods",20.87797,
2000,2413,"Net food-exporting developing economies",0000,"World",02,"Exports",ICT00,"Total ICT goods",25.10609,
2000,2413,"Net food-exporting developing economies",0000,"World",03,"Re-exports",ICT00,"Total ICT goods",0.80069,
2000,2413,"Net food-exporting developing economies",0000,"World",24,"Re-imports",ICT00,"Total ICT goods",47.99167,
2000,2415,"Net food-exporting developed economies",0000,"World",01,"Imports",ICT00,"Total ICT goods",15.44955,
2000,2415,"Net food-exporting developed economies",0000,"World",02,"Exports",ICT00,"Total ICT goods",13.58228,
2000,2415,"Net food-exporting developed economies",0000,"World",03,"Re-exports",ICT00,"Total ICT goods",37.2968,
2000,2415,"Net food-exporting developed economies",0000,"World",24,"Re-imports",ICT00,"Total ICT goods",38.57907,
2000,2416,"Major net food-exporting economies",0000,"World",01,"Imports",ICT00,"Total ICT goods",15.80598,
2000,2416,"Major net food-exporting economies",0000,"World",02,"Exports",ICT00,"Total ICT goods",14.8878,
2000,2416,"Major net food-exporting economies",0000,"World",03,"Re-exports",ICT00,"Total ICT goods",37.30113,
2000,2416,"Major net food-exporting economies",0000,"World",24,"Re-imports",ICT00,"Total ICT goods",41.77496,
2000,2420,"Net food-importing developing economies",0000,"World",01,"Imports",ICT00,"Total ICT goods",19.96269,
2000,2420,"Net food-importing developing economies",0000,"World",02,"Exports",ICT00,"Total ICT goods",17.89757,
2000,2420,"Net food-importing developing economies",0000,"World",03,"Re-exports",ICT00,"Total ICT goods",25.48098,
2000,2420,"Net food-importing developing economies",0000,"World",24,"Re-imports",ICT00,"Total ICT goods",37.57476,
2000,2422,"Net food-importing developed economies",0000,"World",01,"Imports",ICT00,"Total ICT goods",13.68711,
2000,2422,"Net food-importing developed economies",0000,"World",02,"Exports",ICT00,"Total ICT goods",14.33749,
2000,2422,"Net food-importing developed economies",0000,"World",03,"Re-exports",ICT00,"Total ICT goods",5.71883,
2000,2422,"Net food-importing developed economies",0000,"World",24,"Re-imports",ICT00,"Total ICT goods",12.50039,
2000,2423,"Major net food-importing economies",0000,"World",01,"Imports",ICT00,"Total ICT goods",15.71068,
2000,2423,"Major net food-importing economies",0000,"World",02,"Exports",ICT00,"Total ICT goods",15.71719,
2000,2423,"Major net food-importing economies",0000,"World",03,"Re-exports",ICT00,"Total ICT goods",24.62034,
2000,2423,"Major net food-importing economies",0000,"World",24,"Re-imports",ICT00,"Total ICT goods",22.84935,
2000,246,"Finland",0000,"World",01,"Imports",ICT00,"Total ICT goods",16.62787,
2000,246,"Finland",0000,"World",02,"Exports",ICT00,"Total ICT goods",23.55395,
2000,2508,"Industrialized economies (UNIDO)",0000,"World",01,"Imports",ICT00,"Total ICT goods",16.67081,
2000,2508,"Industrialized economies (UNIDO)",0000,"World",02,"Exports",ICT00,"Total ICT goods",17.1978,
2000,2508,"Industrialized economies (UNIDO)",0000,"World",03,"Re-exports",ICT00,"Total ICT goods",28.75846,
2000,2508,"Industrialized economies (UNIDO)",0000,"World",24,"Re-imports",ICT00,"Total ICT goods",22.36109,
2000,2509,"EIEs (Emerging Industrial Economies) (UNIDO)",0000,"World",01,"Imports",ICT00,"Total ICT goods",13.57558,
2000,2509,"EIEs (Emerging Industrial Economies) (UNIDO)",0000,"World",02,"Exports",ICT00,"Total ICT goods",11.29439,
2000,2509,"EIEs (Emerging Industrial Economies) (UNIDO)",0000,"World",03,"Re-exports",ICT00,"Total ICT goods",3.72621,
2000,2509,"EIEs (Emerging Industrial Economies) (UNIDO)",0000,"World",24,"Re-imports",ICT00,"Total ICT goods",39.45758,
2000,251,"France",0000,"World",01,"Imports",ICT00,"Total ICT goods",11.84775,
2000,251,"France",0000,"World",02,"Exports",ICT00,"Total ICT goods",10.80616,
2000,251,"France",0000,"World",24,"Re-imports",ICT00,"Total ICT goods",21.13416,
2000,2510,"Emerging markets",0000,"World",01,"Imports",ICT00,"Total ICT goods",20.89564,
2000,2510,"Emerging markets",0000,"World",02,"Exports",ICT00,"Total ICT goods",22.03167,
2000,2510,"Emerging markets",0000,"World",03,"Re-exports",ICT00,"Total ICT goods",25.70495,
2000,2510,"Emerging markets",0000,"World",24,"Re-imports",ICT00,"Total ICT goods",41.76616,
2000,2511,"Emerging markets: Africa",0000,"World",01,"Imports",ICT00,"Total ICT goods",8.62681,
2000,2511,"Emerging markets: Africa",0000,"World",02,"Exports",ICT00,"Total ICT goods",0.72738,
2000,2512,"Emerging markets: Americas",0000,"World",01,"Imports",ICT00,"Total ICT goods",15.02404,
2000,2512,"Emerging markets: Americas",0000,"World",02,"Exports",ICT00,"Total ICT goods",11.49647,
